[SUB] Rate: 0.50 M msg/s | Last ID: 3
[SUB] Rate: 0.94 M msg/s | Last ID: 2
[SUB] Rate: 1.33 M msg/s | Last ID: 2
[SUB] Rate: 1.67 M msg/s | Last ID: 3
[SUB] Rate: 1.99 M msg/s | Last ID: 2
[SUB] Rate: 2.28 M msg/s | Last ID: 4
[SUB] Rate: 2.55 M msg/s | Last ID: 3
[SUB] Rate: 2.80 M msg/s | Last ID: 4
[SUB] Rate: 3.03 M msg/s | Last ID: 3
[SUB] Rate: 3.24 M msg/s | Last ID: 4
[SUB] Rate: 3.44 M msg/s | Last ID: 1
[SUB] Rate: 3.62 M msg/s | Last ID: 3
[SUB] Rate: 3.79 M msg/s | Last ID: 1
[SUB] Rate: 3.95 M msg/s | Last ID: 1
[SUB] Rate: 4.10 M msg/s | Last ID: 2
[SUB] Rate: 4.24 M msg/s | Last ID: 3
[SUB] Rate: 4.37 M msg/s | Last ID: 4
[SUB] Rate: 4.50 M msg/s | Last ID: 3
[SUB] Rate: 4.62 M msg/s | Last ID: 1
[SUB] Rate: 4.73 M msg/s | Last ID: 4
[SUB] Rate: 4.83 M msg/s | Last ID: 1
[SUB] Rate: 4.93 M msg/s | Last ID: 1
[SUB] Rate: 5.03 M msg/s | Last ID: 4
[SUB] Rate: 5.12 M msg/s | Last ID: 1
[SUB] Rate: 5.20 M msg/s | Last ID: 4
[SUB] Rate: 5.29 M msg/s | Last ID: 3
[SUB] Rate: 5.36 M msg/s | Last ID: 4
[SUB] Rate: 5.44 M msg/s | Last ID: 4
[SUB] Rate: 5.51 M msg/s | Last ID: 3
[SUB] Rate: 5.58 M msg/s | Last ID: 4
[SUB] Rate: 5.65 M msg/s | Last ID: 2
[SUB] Rate: 5.71 M msg/s | Last ID: 4
[SUB] Rate: 5.77 M msg/s | Last ID: 1
[SUB] Rate: 5.83 M msg/s | Last ID: 3
[SUB] Rate: 5.88 M msg/s | Last ID: 2
[SUB] Rate: 5.92 M msg/s | Last ID: 3
[SUB] Rate: 5.95 M msg/s | Last ID: 1
[SUB] Rate: 5.98 M msg/s | Last ID: 3
[SUB] Rate: 6.00 M msg/s | Last ID: 4
[SUB] Rate: 6.03 M msg/s | Last ID: 3
[SUB] Rate: 6.08 M msg/s | Last ID: 4
[SUB] Rate: 6.12 M msg/s | Last ID: 4
[SUB] Rate: 6.16 M msg/s | Last ID: 1
[SUB] Rate: 6.20 M msg/s | Last ID: 3
[SUB] Rate: 6.24 M msg/s | Last ID: 1
[SUB] Rate: 6.28 M msg/s | Last ID: 2
[SUB] Rate: 6.32 M msg/s | Last ID: 1
[SUB] Rate: 6.35 M msg/s | Last ID: 4
[SUB] Rate: 6.39 M msg/s | Last ID: 3
[SUB] Rate: 6.42 M msg/s | Last ID: 3
[SUB] Rate: 6.45 M msg/s | Last ID: 4
[SUB] Rate: 6.49 M msg/s | Last ID: 1
[SUB] Rate: 6.52 M msg/s | Last ID: 4
[SUB] Rate: 6.55 M msg/s | Last ID: 2
[SUB] Rate: 6.58 M msg/s | Last ID: 2
[SUB] Rate: 6.61 M msg/s | Last ID: 3
[SUB] Rate: 6.63 M msg/s | Last ID: 3
[SUB] Rate: 6.66 M msg/s | Last ID: 2
[SUB] Rate: 6.69 M msg/s | Last ID: 4
[SUB] Rate: 6.71 M msg/s | Last ID: 2
[SUB] Rate: 6.74 M msg/s | Last ID: 1
[SUB] Rate: 6.76 M msg/s | Last ID: 3
[SUB] Rate: 6.79 M msg/s | Last ID: 1
[SUB] Rate: 6.81 M msg/s | Last ID: 1
[SUB] Rate: 6.83 M msg/s | Last ID: 1
[SUB] Rate: 6.86 M msg/s | Last ID: 3
[SUB] Rate: 6.88 M msg/s | Last ID: 2
[SUB] Rate: 6.90 M msg/s | Last ID: 4
[SUB] Rate: 6.92 M msg/s | Last ID: 2
[SUB] Rate: 6.94 M msg/s | Last ID: 4
[SUB] Rate: 6.96 M msg/s | Last ID: 3
